TIME,Value
30/09/2000,8.8
31/10/2000,8.7
30/11/2000,8.6
31/12/2000,8.6
31/01/2001,8.5
28/02/2001,8.4
31/03/2001,8.4
30/04/2001,8.4
31/05/2001,8.4
30/06/2001,8.4
31/07/2001,8.4
31/08/2001,8.4
30/09/2001,8.4
31/10/2001,8.4
30/11/2001,8.5
31/12/2001,8.5
31/01/2002,8.5
28/02/2002,8.5
31/03/2002,8.5
30/04/2002,8.5
31/05/2002,8.6
30/06/2002,8.6
31/07/2002,8.7
31/08/2002,8.7
30/09/2002,8.8
31/10/2002,8.8
30/11/2002,8.9
31/12/2002,8.9
31/01/2003,9
28/02/2003,9
31/03/2003,9
30/04/2003,9
31/05/2003,9
30/06/2003,9.1
31/07/2003,9.1
31/08/2003,9.1
30/09/2003,9.1
31/10/2003,9.1
30/11/2003,9.1
31/12/2003,9.1
31/01/2004,9.2
29/02/2004,9.2
31/03/2004,9.3
30/04/2004,9.3
31/05/2004,9.3
30/06/2004,9.2
31/07/2004,9.2
31/08/2004,9.2
30/09/2004,9.3
31/10/2004,9.3
30/11/2004,9.3
31/12/2004,9.2
31/01/2005,9.2
28/02/2005,9.2
31/03/2005,9.2
30/04/2005,9.2
31/05/2005,9.2
30/06/2005,9.2
31/07/2005,9.1
31/08/2005,9
30/09/2005,9
31/10/2005,9
30/11/2005,8.9
31/12/2005,8.9
31/01/2006,8.8
28/02/2006,8.8
31/03/2006,8.7
30/04/2006,8.6
31/05/2006,8.5
30/06/2006,8.4
31/07/2006,8.3
31/08/2006,8.3
30/09/2006,8.2
31/10/2006,8.1
30/11/2006,8
31/12/2006,7.9
31/01/2007,7.9
28/02/2007,7.8
31/03/2007,7.7
30/04/2007,7.6
31/05/2007,7.5
30/06/2007,7.5
31/07/2007,7.5
31/08/2007,7.5
30/09/2007,7.4
31/10/2007,7.3
30/11/2007,7.3
31/12/2007,7.3
31/01/2008,7.3
29/02/2008,7.3
31/03/2008,7.3
30/04/2008,7.4
31/05/2008,7.4
30/06/2008,7.5
31/07/2008,7.5
31/08/2008,7.6
30/09/2008,7.7
31/10/2008,7.8
30/11/2008,8
31/12/2008,8.3
31/01/2009,8.7
28/02/2009,9
31/03/2009,9.3
30/04/2009,9.5
31/05/2009,9.6
30/06/2009,9.7
31/07/2009,9.8
31/08/2009,9.9
30/09/2009,10
31/10/2009,10.1
30/11/2009,10.1
31/12/2009,10.1
31/01/2010,10.2
28/02/2010,10.2
31/03/2010,10.2
30/04/2010,10.3
31/05/2010,10.3
30/06/2010,10.3
31/07/2010,10.2
31/08/2010,10.2
30/09/2010,10.2
31/10/2010,10.2
30/11/2010,10.1
31/12/2010,10.1
31/01/2011,10.1
28/02/2011,10
31/03/2011,10
30/04/2011,10
31/05/2011,10
30/06/2011,10.1
31/07/2011,10.2
31/08/2011,10.2
30/09/2011,10.4
31/10/2011,10.5
30/11/2011,10.6
31/12/2011,10.7
31/01/2012,10.8
29/02/2012,10.9
31/03/2012,11.1
30/04/2012,11.2
31/05/2012,11.3
30/06/2012,11.4
31/07/2012,11.5
31/08/2012,11.5
30/09/2012,11.6
31/10/2012,11.7
30/11/2012,11.8
31/12/2012,11.9
31/01/2013,12
28/02/2013,12
31/03/2013,12
30/04/2013,12.1
31/05/2013,12.1
30/06/2013,12.1
31/07/2013,12
31/08/2013,12
30/09/2013,12
31/10/2013,12
30/11/2013,11.9
31/12/2013,11.9
31/01/2014,11.9
28/02/2014,11.9
31/03/2014,11.8
30/04/2014,11.7
31/05/2014,11.7
30/06/2014,11.5
31/07/2014,11.6
31/08/2014,11.5
30/09/2014,11.5
31/10/2014,11.5
30/11/2014,11.5
31/12/2014,11.4
31/01/2015,11.3
28/02/2015,11.2
31/03/2015,11.2
30/04/2015,11.1
31/05/2015,11
30/06/2015,11
31/07/2015,10.8
31/08/2015,10.7
30/09/2015,10.6
31/10/2015,10.6
30/11/2015,10.5
31/12/2015,10.5
31/01/2016,10.4
29/02/2016,10.4
31/03/2016,10.2
30/04/2016,10.2
31/05/2016,10.1
30/06/2016,10.1
31/07/2016,10
31/08/2016,9.9
30/09/2016,9.9
31/10/2016,9.8
30/11/2016,9.8
31/12/2016,9.6
31/01/2017,9.6
28/02/2017,9.4
31/03/2017,9.4
30/04/2017,9.2
31/05/2017,9.2
30/06/2017,9.1
31/07/2017,9
31/08/2017,9
30/09/2017,8.9
31/10/2017,8.8
30/11/2017,8.7
31/12/2017,8.7
31/01/2018,8.6
28/02/2018,8.5
31/03/2018,8.5
30/04/2018,8.4
31/05/2018,8.2
30/06/2018,8.2
31/07/2018,8.1
31/08/2018,8
30/09/2018,8
31/10/2018,8
30/11/2018,7.9
31/12/2018,7.8
31/01/2019,7.8
28/02/2019,7.8
31/03/2019,7.7
30/04/2019,7.7
31/05/2019,7.6
30/06/2019,7.5
31/07/2019,7.5
31/08/2019,7.5
30/09/2019,7.5
31/10/2019,7.4
30/11/2019,7.4
31/12/2019,7.4
31/01/2020,7.3
29/02/2020,7.2
31/03/2020,7.4
30/04/2020,7.2
31/05/2020,7.7
30/06/2020,7.9
31/07/2020,8.7
31/08/2020,8.6
30/09/2020,8.5
